Input Tier,Device,Model,Load Time (ms),Inference Latency (ms),Throughput (TPS),Memory Δ (MB)
Short (150W),,,,,,
,Nothing 3a Pro,INT8,1062.8,818.1,55.06,7.94
,,FP32,1255.7,795.2,45.3,6.27
,Honor 9X,INT8,1903.6,1635.9,27.66,2.84
,,FP32,2260,1418.8,25.3,2.13
,Realme C17,INT8,2601,1912.1,23.55,2.51
,,FP32,2735.9,2011.8,22.71,2.56
,Tecno,INT8,1776.4,1543.9,29.2,8.4
,,FP32,2430.4,1538.2,23.4,6.6
Medium (600W),,,,,,
,Nothing 3a Pro,INT8,1112.4,1529.8,46.44,89.89
,,FP32,1203.9,1835.1,41.98,14.67
,Honor 9X,INT8,1779.6,3026.1,23.53,106.89
,,FP32,1929.5,3442.9,22.37,24.49
,Realme C17,INT8,2831.2,3806,18.66,105.65
,,FP32,2706.8,3921.3,18.22,101.39
,Tecno,INT8,1770.1,3065.4,23.17,82.3
,,FP32,1818.9,3627,21.28,6.34
Long (1200W),,,,,,
,Nothing 3a Pro,INT8,1061.5,1954.1,34.29,224.29
,,FP32,1292.9,2304.1,28.46,279.84
,Honor 9X,INT8,1830.7,4307.9,15.56,271.54
,,FP32,1877.8,5092.3,12.77,326.2
,Realme C17,INT8,2710.5,5826.3,11.56,263.41
,,FP32,2922.7,5835,11.51,277.4
,Tecno,INT8,1856.3,4032.2,16.63,218.02
,,FP32,1828.6,4726.8,13.78,247.73
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Input Tier,Device,Model,Load Time (ms),Inference Latency (ms),Throughput (TPS),Memory Δ (MB)
Short (150W),,,,,,
,Nothing 3a Pro,INT8,,,,
,,FP32,,,,
,Honor 9X,INT8,,,,
,,FP32,,,,
,Realme C17,INT8,,,,
,,FP32,,,,
,Tecno,INT8,,,,
,,FP32,,,,
Medium (600W),,,,,,
,Nothing 3a Pro,INT8,,,,
,,FP32,,,,
,Honor 9X,INT8,,,,
,,FP32,,,,
,Realme C17,INT8,,,,
,,FP32,,,,
,Tecno,INT8,,,,
,,FP32,,,,
Long (1200W),,,,,,
,Nothing 3a Pro,INT8,,,,
,,FP32,,,,
,Honor 9X,INT8,,,,
,,FP32,,,,
,Realme C17,INT8,,,,
,,FP32,,,,
,Tecno,INT8,,,,
,,FP32,,,,
